Supplier,AASFile,ComponentName,AASId,AssetId,TechnicalPropertyIdShort,TechnicalPropertySemanticId,Value,ValueType,Unit,UnitId,QuantityKind
supplierA_raw,A_ConstantPump1.aasx,ConstantPump,https://example.com/ids/aas/0070_5182_2152_2091,https://example.com/ids/asset/5560_5182_2152_5395,SpecifiedMaximumTotalFlowRate,0173-1#02-AAZ826#003,30,xs:float,L/min,0173-1#05-AAA356#003,
supplierA_raw,A_ConstantPump1.aasx,ConstantPump,https://example.com/ids/aas/0070_5182_2152_2091,https://example.com/ids/asset/5560_5182_2152_5395,SpecifiedMaximumOutletPressure,0173-1#02-ABC510#003,2.5,xs:float,Bar,0173-1#05-AAA044#002,
supplierA_raw,A_ConstantPump1.aasx,ConstantPump,https://example.com/ids/aas/0070_5182_2152_2091,https://example.com/ids/asset/5560_5182_2152_5395,NominalFlowRate,0173-1#02-ABC551#003,20,xs:float,l./min,0173-1#05-AAA356#003,
supplierA_raw,A_ConstantPump1.aasx,ConstantPump,https://example.com/ids/aas/0070_5182_2152_2091,https://example.com/ids/asset/5560_5182_2152_5395,MaximumSetFlowRate,0173-1#02-ABC558#003,25,xs:float,L/min,0173-1#05-AAA356#003,
supplierA_raw,A_ConstantPump1.aasx,ConstantPump,https://example.com/ids/aas/0070_5182_2152_2091,https://example.com/ids/asset/5560_5182_2152_5395,OutletPressure,0173-1#02-AAZ809#003,,xs:float,Bar,0173-1#05-AAA044#002,
supplierA_raw,A_ConstantPump1.aasx,ConstantPump,https://example.com/ids/aas/0070_5182_2152_2091,https://example.com/ids/asset/5560_5182_2152_5395,SetPressure,0173-1#02-AAZ819#003,,xs:float,Bar,0173-1#05-AAA044#002,
supplierA_raw,A_ConstantPump1.aasx,ConstantPump,https://example.com/ids/aas/0070_5182_2152_2091,https://example.com/ids/asset/5560_5182_2152_5395,NominalOutletPressure,0173-1#02-ABC511#003,2.2,xs:float,Bar,0173-1#05-AAA044#002,
supplierA_raw,A_ConstantPump1.aasx,ConstantPump,https://example.com/ids/aas/0070_5182_2152_2091,https://example.com/ids/asset/5560_5182_2152_5395,HydraulicPower,0173-1#02-AAZ827#003,1.5,xs:float,kw,0173-1#05-AAA756#003,
supplierA_raw,A_ConstantPump1.aasx,ConstantPump,https://example.com/ids/aas/0070_5182_2152_2091,https://example.com/ids/asset/5560_5182_2152_5395,NominalSpeedOfTheDrive,0173-1#02-AAC881#008,,xs:float,1/min,0173-1#05-AAA650#003,
supplierA_raw,A_ConstantPump1.aasx,ConstantPump,https://example.com/ids/aas/0070_5182_2152_2091,https://example.com/ids/asset/5560_5182_2152_5395,SpecifiedMaximumHydraulicPower,0173-1#02-ABC686#003,,xs:float,W,0173-1#05-AAA282#003,
supplierA_raw,A_ConstantPump1.aasx,ConstantPump,https://example.com/ids/aas/0070_5182_2152_2091,https://example.com/ids/asset/5560_5182_2152_5395,SpecifiedMaximumMechanicalPower,0173-1#02-ABC709#003,,xs:float,W,0173-1#05-AAA282#003,
supplierA_raw,A_ConstantPump2.aasx,ConstantPump,http://generated.local/aas/A/ConstantPump/2/a0ee89aed453dd32,http://generated.local/asset/A/ConstantPump/2/e2acf72f9e574f7a,SpecifiedMaximumTotalFlowRate,0173-1#02-AAZ826#003,124.31,xs:float,L/min,0173-1#05-AAA356#003,
supplierA_raw,A_ConstantPump2.aasx,ConstantPump,http://generated.local/aas/A/ConstantPump/2/a0ee89aed453dd32,http://generated.local/asset/A/ConstantPump/2/e2acf72f9e574f7a,SpecifiedMaximumOutletPressure,0173-1#02-ABC510#003,205.5,xs:float,Bar,0173-1#05-AAA044#002,
